"skills","skill_count"
"sql","493"
"tableau","293"
"excel","290"
"python","285"
"r","175"
"power bi","130"
"sas","81"
"looker","76"
"powerpoint","69"
"snowflake","59"
"word","57"
"oracle","46"
"sql server","43"
"go","40"
"flow","38"
"azure","35"
"spss","32"
"vba","31"
"aws","31"
"sheets","31"
"jira","30"
"hadoop","24"
"alteryx","23"
"javascript","22"
"java","20"
"redshift","19"
"bigquery","18"
"sharepoint","18"
"nosql","17"
"qlik","17"
"databricks","17"
"ssis","17"
"spark","16"
"outlook","16"
"ssrs","15"
"c","15"
"confluence","13"
"pandas","13"
"dax","12"
"c++","12"
"visio","11"
"t-sql","11"
"ms access","10"
"html","10"
"github","9"
"c#","9"
"sap","9"
"spreadsheet","8"
"windows","8"
"mysql","8"
"numpy","8"
"airflow","7"
"atlassian","7"
"crystal","7"
"matlab","6"
"express","6"
"git","6"
"postgresql","6"
"scikit-learn","6"
"bash","6"
"matplotlib","5"
"scala","5"
"planner","5"
"zoom","5"
"jupyter","5"
"mongodb","5"
"plotly","5"
"microsoft teams","4"
"cognos","4"
"unix","4"
"terminal","4"
"phoenix","4"
"shell","4"
"slack","4"
"powershell","4"
"pyspark","4"
"smartsheet","4"
"db2","4"
"microstrategy","4"
"swift","3"
"gcp","3"
"gitlab","3"
"jenkins","3"
"visual basic","3"
"seaborn","3"
"linux","3"
"kubernetes","3"
"julia","2"
"arch","2"
"bitbucket","2"
"elasticsearch","2"
"flask","2"
"ggplot2","2"
"golang","2"
"react","2"
"ruby","2"
"rust","2"
"spring","2"
"sqlite","2"
"unity","2"
"webex","2"
"php","1"
"notion","1"
"node.js","1"
"asana","1"
"mariadb","1"
"keras","1"
"kafka","1"
"wire","1"
"ibm cloud","1"
"fastapi","1"
"erlang","1"
"docker","1"
"datarobot","1"
"tensorflow","1"
"css","1"
"terraform","1"
"twilio","1"
"ansible","1"
"couchbase","1"
"vb.net","1"
"clickup","1"
"chef","1"
"cassandra","1"
"vue.js","1"
"watson","1"
"angular","1"
"sass","1"
"ruby on rails","1"
"redis","1"
"pytorch","1"
